locationname,locationaddress
Abbotsford Park,2 A Abbotsford Rd
Acacia Park,68 Lilac Ave
Academy Soccer Field,95 Jonesville Cres
Adams Park,2 Rozell Rd
Adanac Park,15 Belmuir Pl
Addington Greenbelt,15 Brentwood Ave
Agincourt Park,27 Glen Watford Dr
Agnes Macphail Square,900 Pape Ave
Ailsa Craig Parkette,16 Ailsa Craig Crt
Alamosa Park,111 Alamosa Dr
Alan - Oxford Parkette,31 Alan Ave
Albert Campbell Square,150 Borough Dr
Albert Crosland Parkette,14 Fuller Ave
Albert Standing Park,50 Bogert Ave
Albion Gardens Park,41 Deanlea Crt
Alderwood Memorial Park,215 Sheldon Ave
Aldwych Park,134 Aldwych Ave
Alex Marchetti Park,1 Sun Row Dr
Alex Murray Parkette,107 Crescent Rd
Alexander Muir Memorial Gardens,2901 Yonge St
Alexander Park,33 Alexander St
Alexander Street Parkette,16 Alexander St
Alexander The Great Parkette,Logan Ave
Alexandra Park,275 Bathurst St
Alexmuir Park,205 Alexmuir Blvd
Allan A. Lamport Stadium Park,1155 King St W
Allan Gardens,160 Gerrard St E
Allanhurst Park,1336 Royal York Rd
Amberdale Ravine Park,101 Brimorton Dr
Ambrose Parkette,5 Ambrose Rd
Ames Park,272 Banbury Rd
Amesbury Park,151 Culford Rd
Amos Waites Park,2441 Lake Shore Blvd W
Amsterdam Square,525 Avenue Rd
Ancaster Park,43 Ancaster Rd
Ancona Park,15 Ancona St
Aneta Circle Parkette,184 Newton Dr
Anniversary Park,410 Parliament St
Anson Park,50 Macduff Cres
Anthony Road School Park,111 A Anthony Rd
Antibes Park,109 Antibes Dr
Apted Park,50 Apted Ave
Arena Gardens,78 Mutual St
Arlington Parkette,460 Arlington Ave
Arsandco Park,151 Prudential Dr
Art Eggleton Park,323 Harbord St
Arthur Dyson Parkette,1404 Pape Ave
Ashbridges Bay Park,1561 Lake Shore Blvd E
Ashtonbee Reservoir Park,21 Ashtonbee Rd
Asquith Green Park,19 Park Rd
Asterfield - Plumrose Blvd Parkette,75 Asterfield Dr
Audrelane Park,60 Audrelane Crt
Austin Terrace Boulevard Lands,Austin Ter
Avalon Parkette,1700 Kingston Rd
Avondale Park,15 Humberstone Dr
Avonshire Park,125 Harrison Garden Blvd
Avonshire Parkette,1 A Oakburn Cres
Avro Park,49 Keswick Rd
Bain Avenue Parkette,208 Bain Ave
Baird Park,275 Keele St
Bakerton Parkette,25 Bakerton Dr
Balcarra Park,1 Balcarra Ave
Balmoral Park,170 Faywood Blvd
Balmy Beach Park,1 Beech Ave
Bamburgh Park,70 Bamburgh Cir
Banbury Park,120 Banbury Rd
Banting Park,40 Banting Ave
Barbara Hall Park,519 Church St
Barkdene Park,50 Barkdene Hills
Bartlett Parkette,160 Geary Ave
